Vardas                   Pavarde                  Galutinis
VardasNR43               PavardeNR43              3.84  
VardasNR756              PavardeNR756             4.44  
VardasNR757              PavardeNR757             4.68  
VardasNR427              PavardeNR427             4.16  
VardasNR425              PavardeNR425             3.72  
VardasNR76               PavardeNR76              4.60  
VardasNR760              PavardeNR760             3.08  
VardasNR422              PavardeNR422             4.92  
VardasNR42               PavardeNR42              2.60  
VardasNR763              PavardeNR763             3.64  
VardasNR417              PavardeNR417             2.80  
VardasNR414              PavardeNR414             2.80  
VardasNR413              PavardeNR413             2.16  
VardasNR412              PavardeNR412             3.52  
VardasNR768              PavardeNR768             2.92  
VardasNR411              PavardeNR411             3.16  
VardasNR77               PavardeNR77              4.88  
VardasNR409              PavardeNR409             3.84  
VardasNR404              PavardeNR404             3.64  
VardasNR403              PavardeNR403             4.16  
VardasNR773              PavardeNR773             3.76  
VardasNR774              PavardeNR774             2.96  
VardasNR402              PavardeNR402             2.32  
VardasNR400              PavardeNR400             4.32  
VardasNR40               PavardeNR40              3.36  
VardasNR4                PavardeNR4               4.36  
VardasNR398              PavardeNR398             3.20  
VardasNR78               PavardeNR78              4.00  
VardasNR394              PavardeNR394             4.44  
VardasNR392              PavardeNR392             3.44  
VardasNR782              PavardeNR782             3.60  
VardasNR391              PavardeNR391             4.96  
VardasNR784              PavardeNR784             3.88  
VardasNR390              PavardeNR390             3.08  
VardasNR786              PavardeNR786             4.84  
VardasNR39               PavardeNR39              3.88  
VardasNR788              PavardeNR788             4.00  
VardasNR789              PavardeNR789             3.72  
VardasNR389              PavardeNR389             4.52  
VardasNR38               PavardeNR38              4.12  
VardasNR791              PavardeNR791             2.88  
VardasNR379              PavardeNR379             3.40  
VardasNR793              PavardeNR793             2.20  
VardasNR794              PavardeNR794             4.60  
VardasNR378              PavardeNR378             3.64  
VardasNR796              PavardeNR796             3.04  
VardasNR374              PavardeNR374             4.56  
VardasNR798              PavardeNR798             3.32  
VardasNR373              PavardeNR373             3.36  
VardasNR371              PavardeNR371             2.84  
VardasNR80               PavardeNR80              2.56  
VardasNR370              PavardeNR370             2.32  
VardasNR363              PavardeNR363             3.08  
VardasNR802              PavardeNR802             3.76  
VardasNR362              PavardeNR362             3.24  
VardasNR36               PavardeNR36              4.08  
VardasNR359              PavardeNR359             4.00  
VardasNR358              PavardeNR358             4.48  
VardasNR807              PavardeNR807             3.80  
VardasNR808              PavardeNR808             3.76  
VardasNR809              PavardeNR809             4.80  
VardasNR357              PavardeNR357             3.32  
VardasNR355              PavardeNR355             4.12  
VardasNR353              PavardeNR353             4.84  
VardasNR812              PavardeNR812             3.68  
VardasNR813              PavardeNR813             2.44  
VardasNR814              PavardeNR814             3.96  
VardasNR352              PavardeNR352             3.96  
VardasNR816              PavardeNR816             3.96  
VardasNR817              PavardeNR817             3.72  
VardasNR345              PavardeNR345             3.24  
VardasNR819              PavardeNR819             4.84  
VardasNR82               PavardeNR82              3.68  
VardasNR344              PavardeNR344             3.04  
VardasNR343              PavardeNR343             2.68  
VardasNR342              PavardeNR342             3.48  
VardasNR823              PavardeNR823             4.08  
VardasNR824              PavardeNR824             4.04  
VardasNR341              PavardeNR341             4.00  
VardasNR34               PavardeNR34              3.68  
VardasNR338              PavardeNR338             2.68  
VardasNR337              PavardeNR337             3.52  
VardasNR336              PavardeNR336             3.56  
VardasNR83               PavardeNR83              4.76  
VardasNR333              PavardeNR333             3.68  
VardasNR331              PavardeNR331             4.08  
VardasNR33               PavardeNR33              4.08  
VardasNR833              PavardeNR833             3.08  
VardasNR329              PavardeNR329             3.80  
VardasNR327              PavardeNR327             4.60  
VardasNR326              PavardeNR326             3.44  
VardasNR325              PavardeNR325             4.28  
VardasNR324              PavardeNR324             3.68  
VardasNR839              PavardeNR839             2.52  
VardasNR84               PavardeNR84              4.96  
VardasNR840              PavardeNR840             4.20  
VardasNR841              PavardeNR841             3.44  
VardasNR842              PavardeNR842             4.00  
VardasNR323              PavardeNR323             3.40  
VardasNR320              PavardeNR320             4.00  
VardasNR319              PavardeNR319             2.76  
VardasNR318              PavardeNR318             2.08  
VardasNR847              PavardeNR847             2.80  
VardasNR848              PavardeNR848             4.40  
VardasNR849              PavardeNR849             4.52  
VardasNR317              PavardeNR317             3.56  
VardasNR315              PavardeNR315             3.92  
VardasNR309              PavardeNR309             3.72  
VardasNR852              PavardeNR852             3.24  
VardasNR308              PavardeNR308             2.88  
VardasNR306              PavardeNR306             3.04  
VardasNR855              PavardeNR855             4.36  
VardasNR305              PavardeNR305             2.64  
VardasNR303              PavardeNR303             3.40  
VardasNR302              PavardeNR302             4.08  
VardasNR30               PavardeNR30              3.16  
VardasNR299              PavardeNR299             3.84  
VardasNR298              PavardeNR298             4.12  
VardasNR861              PavardeNR861             3.28  
VardasNR296              PavardeNR296             2.40  
VardasNR294              PavardeNR294             3.68  
VardasNR291              PavardeNR291             3.04  
VardasNR287              PavardeNR287             4.04  
VardasNR866              PavardeNR866             4.96  
VardasNR867              PavardeNR867             4.56  
VardasNR286              PavardeNR286             4.20  
VardasNR869              PavardeNR869             3.56  
VardasNR87               PavardeNR87              4.92  
VardasNR284              PavardeNR284             3.60  
VardasNR871              PavardeNR871             4.52  
VardasNR281              PavardeNR281             3.52  
VardasNR873              PavardeNR873             2.40  
VardasNR874              PavardeNR874             3.64  
VardasNR279              PavardeNR279             3.20  
VardasNR876              PavardeNR876             4.20  
VardasNR877              PavardeNR877             3.32  
VardasNR272              PavardeNR272             2.84  
VardasNR879              PavardeNR879             4.08  
VardasNR88               PavardeNR88              3.40  
VardasNR880              PavardeNR880             4.08  
VardasNR881              PavardeNR881             2.36  
VardasNR882              PavardeNR882             2.84  
VardasNR269              PavardeNR269             4.12  
VardasNR884              PavardeNR884             4.00  
VardasNR885              PavardeNR885             3.92  
VardasNR265              PavardeNR265             2.36  
VardasNR26               PavardeNR26              3.04  
VardasNR888              PavardeNR888             3.84  
VardasNR259              PavardeNR259             3.32  
VardasNR256              PavardeNR256             3.24  
VardasNR252              PavardeNR252             2.80  
VardasNR251              PavardeNR251             2.88  
VardasNR250              PavardeNR250             4.16  
VardasNR25               PavardeNR25              2.40  
VardasNR246              PavardeNR246             2.76  
VardasNR895              PavardeNR895             4.48  
VardasNR245              PavardeNR245             4.88  
VardasNR242              PavardeNR242             4.32  
VardasNR898              PavardeNR898             4.72  
VardasNR239              PavardeNR239             3.72  
VardasNR9                PavardeNR9               2.84  
VardasNR90               PavardeNR90              4.68  
VardasNR900              PavardeNR900             3.32  
VardasNR230              PavardeNR230             4.88  
VardasNR902              PavardeNR902             3.88  
VardasNR23               PavardeNR23              4.40  
VardasNR904              PavardeNR904             3.60  
VardasNR229              PavardeNR229             4.92  
VardasNR227              PavardeNR227             3.52  
VardasNR907              PavardeNR907             3.52  
VardasNR223              PavardeNR223             3.92  
VardasNR222              PavardeNR222             3.72  
VardasNR220              PavardeNR220             3.40  
VardasNR217              PavardeNR217             4.60  
VardasNR911              PavardeNR911             3.44  
VardasNR912              PavardeNR912             3.20  
VardasNR214              PavardeNR214             3.20  
VardasNR210              PavardeNR210             3.80  
VardasNR21               PavardeNR21              3.44  
VardasNR208              PavardeNR208             3.88  
VardasNR206              PavardeNR206             4.96  
VardasNR204              PavardeNR204             4.40  
VardasNR203              PavardeNR203             3.84  
VardasNR201              PavardeNR201             3.72  
VardasNR200              PavardeNR200             4.92  
VardasNR921              PavardeNR921             4.32  
VardasNR2                PavardeNR2               3.44  
VardasNR198              PavardeNR198             4.36  
VardasNR197              PavardeNR197             3.16  
VardasNR925              PavardeNR925             2.12  
VardasNR926              PavardeNR926             2.68  
VardasNR195              PavardeNR195             2.92  
VardasNR928              PavardeNR928             3.88  
VardasNR194              PavardeNR194             2.12  
VardasNR193              PavardeNR193             4.96  
VardasNR930              PavardeNR930             2.52  
VardasNR190              PavardeNR190             3.24  
VardasNR932              PavardeNR932             4.80  
VardasNR933              PavardeNR933             4.76  
VardasNR19               PavardeNR19              3.96  
VardasNR935              PavardeNR935             3.52  
VardasNR188              PavardeNR188             2.52  
VardasNR187              PavardeNR187             4.24  
VardasNR938              PavardeNR938             3.80  
VardasNR183              PavardeNR183             3.56  
VardasNR182              PavardeNR182             3.44  
VardasNR940              PavardeNR940             4.24  
VardasNR941              PavardeNR941             2.60  
VardasNR179              PavardeNR179             4.96  
VardasNR175              PavardeNR175             4.48  
VardasNR944              PavardeNR944             3.20  
VardasNR170              PavardeNR170             4.32  
VardasNR946              PavardeNR946             3.64  
VardasNR947              PavardeNR947             4.24  
VardasNR17               PavardeNR17              2.96  
VardasNR16               PavardeNR16              4.40  
VardasNR159              PavardeNR159             3.80  
VardasNR158              PavardeNR158             3.48  
VardasNR951              PavardeNR951             2.40  
VardasNR952              PavardeNR952             3.04  
VardasNR953              PavardeNR953             3.40  
VardasNR156              PavardeNR156             3.04  
VardasNR155              PavardeNR155             4.76  
VardasNR153              PavardeNR153             3.60  
VardasNR151              PavardeNR151             4.16  
VardasNR958              PavardeNR958             4.32  
VardasNR959              PavardeNR959             4.64  
VardasNR150              PavardeNR150             2.88  
VardasNR149              PavardeNR149             2.92  
VardasNR148              PavardeNR148             4.84  
VardasNR146              PavardeNR146             3.64  
VardasNR145              PavardeNR145             3.36  
VardasNR144              PavardeNR144             3.20  
VardasNR965              PavardeNR965             2.40  
VardasNR143              PavardeNR143             3.48  
VardasNR142              PavardeNR142             3.24  
VardasNR968              PavardeNR968             3.88  
VardasNR969              PavardeNR969             3.56  
VardasNR141              PavardeNR141             4.76  
VardasNR970              PavardeNR970             4.68  
VardasNR138              PavardeNR138             2.68  
VardasNR972              PavardeNR972             3.72  
VardasNR973              PavardeNR973             3.68  
VardasNR974              PavardeNR974             4.68  
VardasNR975              PavardeNR975             4.68  
VardasNR131              PavardeNR131             4.68  
VardasNR128              PavardeNR128             4.08  
VardasNR978              PavardeNR978             3.16  
VardasNR126              PavardeNR126             2.96  
VardasNR125              PavardeNR125             3.72  
VardasNR980              PavardeNR980             4.12  
VardasNR123              PavardeNR123             3.64  
VardasNR982              PavardeNR982             3.28  
VardasNR983              PavardeNR983             4.64  
VardasNR984              PavardeNR984             3.48  
VardasNR985              PavardeNR985             2.56  
VardasNR117              PavardeNR117             3.08  
VardasNR116              PavardeNR116             4.88  
VardasNR111              PavardeNR111             2.56  
VardasNR108              PavardeNR108             4.64  
VardasNR99               PavardeNR99              3.76  
VardasNR990              PavardeNR990             4.48  
VardasNR107              PavardeNR107             4.48  
VardasNR992              PavardeNR992             3.52  
VardasNR993              PavardeNR993             2.40  
VardasNR105              PavardeNR105             4.16  
VardasNR995              PavardeNR995             4.76  
VardasNR102              PavardeNR102             4.20  
VardasNR1000             PavardeNR1000            3.40  
VardasNR100              PavardeNR100             3.00  
VardasNR999              PavardeNR999             4.88  
