Vardas                   Pavarde                  Galutinis
VardasNR181              PavardeNR181             6.60  
VardasNR94               PavardeNR94              8.08  
VardasNR939              PavardeNR939             6.44  
VardasNR184              PavardeNR184             6.04  
VardasNR185              PavardeNR185             8.24  
VardasNR186              PavardeNR186             8.56  
VardasNR937              PavardeNR937             8.52  
VardasNR936              PavardeNR936             8.12  
VardasNR189              PavardeNR189             7.72  
VardasNR934              PavardeNR934             8.32  
VardasNR931              PavardeNR931             8.04  
VardasNR191              PavardeNR191             7.96  
VardasNR192              PavardeNR192             5.20  
VardasNR93               PavardeNR93              8.04  
VardasNR929              PavardeNR929             8.20  
VardasNR927              PavardeNR927             6.04  
VardasNR196              PavardeNR196             5.48  
VardasNR924              PavardeNR924             6.00  
VardasNR923              PavardeNR923             6.52  
VardasNR199              PavardeNR199             5.80  
VardasNR922              PavardeNR922             5.88  
VardasNR20               PavardeNR20              7.24  
VardasNR920              PavardeNR920             5.88  
VardasNR92               PavardeNR92              5.84  
VardasNR202              PavardeNR202             5.32  
VardasNR919              PavardeNR919             6.56  
VardasNR918              PavardeNR918             6.44  
VardasNR205              PavardeNR205             6.08  
VardasNR917              PavardeNR917             7.52  
VardasNR207              PavardeNR207             7.60  
VardasNR916              PavardeNR916             5.04  
VardasNR209              PavardeNR209             6.04  
VardasNR915              PavardeNR915             6.52  
VardasNR914              PavardeNR914             5.12  
VardasNR211              PavardeNR211             5.52  
VardasNR212              PavardeNR212             7.44  
VardasNR213              PavardeNR213             6.12  
VardasNR913              PavardeNR913             5.92  
VardasNR215              PavardeNR215             6.04  
VardasNR216              PavardeNR216             5.64  
VardasNR910              PavardeNR910             5.36  
VardasNR218              PavardeNR218             5.88  
VardasNR219              PavardeNR219             6.32  
VardasNR22               PavardeNR22              6.52  
VardasNR91               PavardeNR91              7.04  
VardasNR221              PavardeNR221             5.08  
VardasNR909              PavardeNR909             6.64  
VardasNR908              PavardeNR908             7.12  
VardasNR224              PavardeNR224             8.00  
VardasNR225              PavardeNR225             6.64  
VardasNR226              PavardeNR226             8.04  
VardasNR906              PavardeNR906             7.16  
VardasNR228              PavardeNR228             8.28  
VardasNR905              PavardeNR905             7.64  
VardasNR903              PavardeNR903             8.24  
VardasNR901              PavardeNR901             5.20  
VardasNR231              PavardeNR231             8.68  
VardasNR232              PavardeNR232             7.40  
VardasNR233              PavardeNR233             7.24  
VardasNR234              PavardeNR234             6.04  
VardasNR235              PavardeNR235             7.16  
VardasNR236              PavardeNR236             5.68  
VardasNR237              PavardeNR237             8.04  
VardasNR238              PavardeNR238             5.36  
VardasNR899              PavardeNR899             5.88  
VardasNR24               PavardeNR24              5.44  
VardasNR240              PavardeNR240             5.56  
VardasNR241              PavardeNR241             6.44  
VardasNR897              PavardeNR897             5.04  
VardasNR243              PavardeNR243             7.48  
VardasNR244              PavardeNR244             8.80  
VardasNR896              PavardeNR896             5.08  
VardasNR894              PavardeNR894             7.04  
VardasNR247              PavardeNR247             6.40  
VardasNR248              PavardeNR248             5.28  
VardasNR249              PavardeNR249             7.20  
VardasNR893              PavardeNR893             7.76  
VardasNR892              PavardeNR892             5.20  
VardasNR891              PavardeNR891             8.16  
VardasNR890              PavardeNR890             7.12  
VardasNR253              PavardeNR253             6.92  
VardasNR254              PavardeNR254             7.92  
VardasNR255              PavardeNR255             7.20  
VardasNR89               PavardeNR89              7.24  
VardasNR257              PavardeNR257             6.88  
VardasNR258              PavardeNR258             5.84  
VardasNR889              PavardeNR889             7.84  
VardasNR887              PavardeNR887             8.00  
VardasNR260              PavardeNR260             6.48  
VardasNR261              PavardeNR261             6.24  
VardasNR262              PavardeNR262             7.56  
VardasNR263              PavardeNR263             7.60  
VardasNR264              PavardeNR264             6.92  
VardasNR886              PavardeNR886             7.76  
VardasNR266              PavardeNR266             7.60  
VardasNR267              PavardeNR267             6.00  
VardasNR268              PavardeNR268             6.72  
VardasNR883              PavardeNR883             8.00  
VardasNR27               PavardeNR27              6.84  
VardasNR270              PavardeNR270             5.92  
VardasNR271              PavardeNR271             7.36  
VardasNR878              PavardeNR878             5.92  
VardasNR273              PavardeNR273             5.96  
VardasNR274              PavardeNR274             5.24  
VardasNR275              PavardeNR275             6.28  
VardasNR276              PavardeNR276             6.92  
VardasNR277              PavardeNR277             5.24  
VardasNR278              PavardeNR278             6.76  
VardasNR875              PavardeNR875             7.80  
VardasNR28               PavardeNR28              5.56  
VardasNR280              PavardeNR280             8.28  
VardasNR872              PavardeNR872             8.16  
VardasNR282              PavardeNR282             8.24  
VardasNR283              PavardeNR283             6.72  
VardasNR870              PavardeNR870             6.76  
VardasNR285              PavardeNR285             6.12  
VardasNR868              PavardeNR868             7.88  
VardasNR865              PavardeNR865             7.80  
VardasNR288              PavardeNR288             5.96  
VardasNR289              PavardeNR289             5.80  
VardasNR29               PavardeNR29              7.52  
VardasNR290              PavardeNR290             7.24  
VardasNR864              PavardeNR864             8.72  
VardasNR292              PavardeNR292             5.32  
VardasNR293              PavardeNR293             6.48  
VardasNR863              PavardeNR863             5.40  
VardasNR295              PavardeNR295             7.28  
VardasNR862              PavardeNR862             8.60  
VardasNR297              PavardeNR297             5.64  
VardasNR860              PavardeNR860             5.32  
VardasNR86               PavardeNR86              7.16  
VardasNR3                PavardeNR3               7.44  
VardasNR859              PavardeNR859             5.00  
VardasNR300              PavardeNR300             7.64  
VardasNR301              PavardeNR301             6.16  
VardasNR858              PavardeNR858             5.84  
VardasNR857              PavardeNR857             5.88  
VardasNR304              PavardeNR304             8.56  
VardasNR856              PavardeNR856             5.04  
VardasNR854              PavardeNR854             5.72  
VardasNR307              PavardeNR307             6.80  
VardasNR853              PavardeNR853             7.52  
VardasNR851              PavardeNR851             5.32  
VardasNR31               PavardeNR31              5.00  
VardasNR310              PavardeNR310             6.56  
VardasNR311              PavardeNR311             7.56  
VardasNR312              PavardeNR312             6.96  
VardasNR313              PavardeNR313             8.32  
VardasNR314              PavardeNR314             7.20  
VardasNR850              PavardeNR850             6.12  
VardasNR316              PavardeNR316             6.04  
VardasNR85               PavardeNR85              5.36  
VardasNR846              PavardeNR846             5.80  
VardasNR845              PavardeNR845             7.04  
VardasNR32               PavardeNR32              7.76  
VardasNR844              PavardeNR844             5.04  
VardasNR321              PavardeNR321             5.60  
VardasNR322              PavardeNR322             5.28  
VardasNR843              PavardeNR843             5.92  
VardasNR838              PavardeNR838             7.32  
VardasNR837              PavardeNR837             5.56  
VardasNR836              PavardeNR836             8.88  
VardasNR835              PavardeNR835             5.04  
VardasNR328              PavardeNR328             5.12  
VardasNR834              PavardeNR834             7.32  
VardasNR832              PavardeNR832             8.08  
VardasNR330              PavardeNR330             8.08  
VardasNR831              PavardeNR831             7.56  
VardasNR332              PavardeNR332             6.00  
VardasNR830              PavardeNR830             5.56  
VardasNR334              PavardeNR334             6.04  
VardasNR335              PavardeNR335             6.80  
VardasNR829              PavardeNR829             7.92  
VardasNR828              PavardeNR828             9.24  
VardasNR827              PavardeNR827             6.20  
VardasNR339              PavardeNR339             7.76  
VardasNR826              PavardeNR826             7.56  
VardasNR340              PavardeNR340             6.08  
VardasNR825              PavardeNR825             5.96  
VardasNR822              PavardeNR822             7.52  
VardasNR821              PavardeNR821             8.36  
VardasNR820              PavardeNR820             6.84  
VardasNR818              PavardeNR818             7.00  
VardasNR346              PavardeNR346             6.04  
VardasNR347              PavardeNR347             6.84  
VardasNR348              PavardeNR348             6.52  
VardasNR349              PavardeNR349             8.20  
VardasNR35               PavardeNR35              5.12  
VardasNR350              PavardeNR350             6.72  
VardasNR351              PavardeNR351             5.12  
VardasNR815              PavardeNR815             8.16  
VardasNR811              PavardeNR811             6.12  
VardasNR354              PavardeNR354             6.96  
VardasNR810              PavardeNR810             5.44  
VardasNR356              PavardeNR356             5.40  
VardasNR81               PavardeNR81              7.68  
VardasNR806              PavardeNR806             5.32  
VardasNR805              PavardeNR805             6.08  
VardasNR804              PavardeNR804             6.80  
VardasNR360              PavardeNR360             6.36  
VardasNR361              PavardeNR361             6.36  
VardasNR803              PavardeNR803             7.64  
VardasNR801              PavardeNR801             6.20  
VardasNR364              PavardeNR364             5.08  
VardasNR365              PavardeNR365             5.48  
VardasNR366              PavardeNR366             6.76  
VardasNR367              PavardeNR367             7.56  
VardasNR368              PavardeNR368             6.68  
VardasNR369              PavardeNR369             8.20  
VardasNR37               PavardeNR37              6.92  
VardasNR800              PavardeNR800             6.28  
VardasNR8                PavardeNR8               6.12  
VardasNR372              PavardeNR372             6.84  
VardasNR799              PavardeNR799             6.64  
VardasNR797              PavardeNR797             5.84  
VardasNR375              PavardeNR375             6.60  
VardasNR376              PavardeNR376             8.16  
VardasNR377              PavardeNR377             8.16  
VardasNR795              PavardeNR795             7.80  
VardasNR792              PavardeNR792             8.08  
VardasNR790              PavardeNR790             8.72  
VardasNR380              PavardeNR380             5.20  
VardasNR381              PavardeNR381             7.96  
VardasNR382              PavardeNR382             8.16  
VardasNR383              PavardeNR383             7.36  
VardasNR384              PavardeNR384             6.36  
VardasNR385              PavardeNR385             7.76  
VardasNR386              PavardeNR386             5.96  
VardasNR387              PavardeNR387             7.16  
VardasNR388              PavardeNR388             6.72  
VardasNR79               PavardeNR79              5.44  
VardasNR787              PavardeNR787             5.96  
VardasNR785              PavardeNR785             5.64  
VardasNR783              PavardeNR783             8.00  
VardasNR781              PavardeNR781             5.12  
VardasNR393              PavardeNR393             8.04  
VardasNR780              PavardeNR780             7.80  
VardasNR395              PavardeNR395             5.72  
VardasNR396              PavardeNR396             5.56  
VardasNR397              PavardeNR397             6.96  
VardasNR779              PavardeNR779             5.28  
VardasNR399              PavardeNR399             8.24  
VardasNR778              PavardeNR778             6.04  
VardasNR777              PavardeNR777             8.16  
VardasNR776              PavardeNR776             6.12  
VardasNR401              PavardeNR401             6.36  
VardasNR775              PavardeNR775             5.32  
VardasNR772              PavardeNR772             6.64  
VardasNR771              PavardeNR771             5.76  
VardasNR405              PavardeNR405             7.28  
VardasNR406              PavardeNR406             5.00  
VardasNR407              PavardeNR407             6.88  
VardasNR408              PavardeNR408             6.72  
VardasNR770              PavardeNR770             6.40  
VardasNR41               PavardeNR41              7.88  
VardasNR410              PavardeNR410             7.04  
VardasNR769              PavardeNR769             8.08  
VardasNR767              PavardeNR767             7.64  
VardasNR766              PavardeNR766             6.88  
VardasNR765              PavardeNR765             7.68  
VardasNR415              PavardeNR415             6.72  
VardasNR416              PavardeNR416             5.04  
VardasNR764              PavardeNR764             6.92  
VardasNR418              PavardeNR418             5.96  
VardasNR419              PavardeNR419             7.64  
VardasNR762              PavardeNR762             7.88  
VardasNR420              PavardeNR420             6.72  
VardasNR421              PavardeNR421             7.80  
VardasNR761              PavardeNR761             5.56  
VardasNR423              PavardeNR423             7.20  
VardasNR424              PavardeNR424             6.20  
VardasNR759              PavardeNR759             6.00  
VardasNR426              PavardeNR426             7.76  
VardasNR758              PavardeNR758             6.72  
VardasNR428              PavardeNR428             6.88  
VardasNR429              PavardeNR429             6.76  
VardasNR755              PavardeNR755             7.56  
VardasNR754              PavardeNR754             5.96  
VardasNR431              PavardeNR431             5.20  
VardasNR432              PavardeNR432             6.72  
VardasNR752              PavardeNR752             7.44  
VardasNR751              PavardeNR751             8.00  
VardasNR435              PavardeNR435             7.96  
VardasNR75               PavardeNR75              6.44  
VardasNR437              PavardeNR437             5.40  
VardasNR438              PavardeNR438             8.84  
VardasNR746              PavardeNR746             5.48  
VardasNR44               PavardeNR44              8.00  
VardasNR744              PavardeNR744             7.56  
VardasNR441              PavardeNR441             7.40  
VardasNR442              PavardeNR442             6.84  
VardasNR742              PavardeNR742             5.56  
VardasNR444              PavardeNR444             5.00  
VardasNR445              PavardeNR445             7.04  
VardasNR741              PavardeNR741             7.64  
VardasNR447              PavardeNR447             5.32  
VardasNR738              PavardeNR738             5.60  
VardasNR737              PavardeNR737             6.96  
VardasNR45               PavardeNR45              7.72  
VardasNR450              PavardeNR450             6.24  
VardasNR736              PavardeNR736             6.44  
VardasNR452              PavardeNR452             6.84  
VardasNR453              PavardeNR453             6.96  
VardasNR454              PavardeNR454             5.32  
VardasNR735              PavardeNR735             7.00  
VardasNR734              PavardeNR734             8.12  
VardasNR457              PavardeNR457             5.00  
VardasNR458              PavardeNR458             6.52  
VardasNR731              PavardeNR731             5.36  
VardasNR46               PavardeNR46              7.44  
VardasNR460              PavardeNR460             5.52  
VardasNR461              PavardeNR461             5.28  
VardasNR462              PavardeNR462             5.76  
VardasNR730              PavardeNR730             8.04  
VardasNR464              PavardeNR464             6.04  
VardasNR465              PavardeNR465             6.60  
VardasNR466              PavardeNR466             5.56  
VardasNR73               PavardeNR73              7.80  
VardasNR468              PavardeNR468             8.24  
VardasNR728              PavardeNR728             5.16  
VardasNR47               PavardeNR47              7.56  
VardasNR470              PavardeNR470             5.32  
VardasNR471              PavardeNR471             6.20  
VardasNR727              PavardeNR727             8.28  
VardasNR473              PavardeNR473             5.76  
VardasNR724              PavardeNR724             6.68  
VardasNR475              PavardeNR475             6.04  
VardasNR723              PavardeNR723             6.28  
VardasNR477              PavardeNR477             6.52  
VardasNR722              PavardeNR722             6.68  
VardasNR479              PavardeNR479             7.84  
VardasNR721              PavardeNR721             7.52  
VardasNR720              PavardeNR720             5.32  
VardasNR481              PavardeNR481             8.44  
VardasNR72               PavardeNR72              8.28  
VardasNR483              PavardeNR483             5.48  
VardasNR484              PavardeNR484             6.60  
VardasNR719              PavardeNR719             5.52  
VardasNR718              PavardeNR718             7.24  
VardasNR716              PavardeNR716             7.80  
VardasNR488              PavardeNR488             6.00  
VardasNR489              PavardeNR489             7.28  
VardasNR49               PavardeNR49              7.32  
VardasNR715              PavardeNR715             6.76  
VardasNR491              PavardeNR491             7.96  
VardasNR492              PavardeNR492             7.72  
VardasNR493              PavardeNR493             7.24  
VardasNR494              PavardeNR494             5.76  
VardasNR714              PavardeNR714             6.32  
VardasNR71               PavardeNR71              8.52  
VardasNR709              PavardeNR709             7.12  
VardasNR708              PavardeNR708             7.64  
VardasNR499              PavardeNR499             6.64  
VardasNR5                PavardeNR5               8.04  
VardasNR50               PavardeNR50              7.16  
VardasNR500              PavardeNR500             6.40  
VardasNR705              PavardeNR705             5.68  
VardasNR704              PavardeNR704             6.24  
VardasNR702              PavardeNR702             8.20  
VardasNR70               PavardeNR70              6.44  
VardasNR698              PavardeNR698             6.28  
VardasNR506              PavardeNR506             8.08  
VardasNR507              PavardeNR507             7.56  
VardasNR697              PavardeNR697             5.76  
VardasNR509              PavardeNR509             7.72  
VardasNR51               PavardeNR51              6.96  
VardasNR695              PavardeNR695             7.64  
VardasNR692              PavardeNR692             8.12  
VardasNR512              PavardeNR512             5.76  
VardasNR513              PavardeNR513             6.28  
VardasNR690              PavardeNR690             5.40  
VardasNR515              PavardeNR515             8.12  
VardasNR516              PavardeNR516             5.48  
VardasNR689              PavardeNR689             5.24  
VardasNR688              PavardeNR688             5.64  
VardasNR686              PavardeNR686             5.04  
VardasNR52               PavardeNR52              6.04  
VardasNR520              PavardeNR520             5.40  
VardasNR685              PavardeNR685             5.68  
VardasNR684              PavardeNR684             8.44  
VardasNR523              PavardeNR523             8.68  
VardasNR524              PavardeNR524             5.56  
VardasNR525              PavardeNR525             7.64  
VardasNR680              PavardeNR680             8.56  
VardasNR68               PavardeNR68              6.56  
VardasNR528              PavardeNR528             7.76  
VardasNR529              PavardeNR529             7.88  
VardasNR53               PavardeNR53              7.92  
VardasNR530              PavardeNR530             5.08  
VardasNR531              PavardeNR531             5.80  
VardasNR679              PavardeNR679             6.56  
VardasNR678              PavardeNR678             6.56  
VardasNR534              PavardeNR534             5.28  
VardasNR673              PavardeNR673             6.04  
VardasNR67               PavardeNR67              8.52  
VardasNR537              PavardeNR537             7.64  
VardasNR538              PavardeNR538             8.24  
VardasNR669              PavardeNR669             7.12  
VardasNR667              PavardeNR667             7.88  
VardasNR666              PavardeNR666             6.36  
VardasNR541              PavardeNR541             7.40  
VardasNR542              PavardeNR542             5.88  
VardasNR665              PavardeNR665             6.68  
VardasNR663              PavardeNR663             7.56  
VardasNR545              PavardeNR545             6.28  
VardasNR546              PavardeNR546             7.32  
VardasNR662              PavardeNR662             6.88  
VardasNR548              PavardeNR548             8.24  
VardasNR549              PavardeNR549             8.04  
VardasNR55               PavardeNR55              6.40  
VardasNR660              PavardeNR660             7.40  
VardasNR551              PavardeNR551             6.16  
VardasNR66               PavardeNR66              6.96  
VardasNR659              PavardeNR659             5.64  
VardasNR658              PavardeNR658             5.12  
VardasNR555              PavardeNR555             6.44  
VardasNR556              PavardeNR556             7.68  
VardasNR557              PavardeNR557             7.24  
VardasNR558              PavardeNR558             5.88  
VardasNR559              PavardeNR559             5.72  
VardasNR56               PavardeNR56              8.12  
VardasNR560              PavardeNR560             6.72  
VardasNR561              PavardeNR561             5.28  
VardasNR657              PavardeNR657             7.12  
VardasNR563              PavardeNR563             5.64  
VardasNR564              PavardeNR564             6.84  
VardasNR565              PavardeNR565             6.20  
VardasNR566              PavardeNR566             5.76  
VardasNR567              PavardeNR567             7.00  
VardasNR568              PavardeNR568             7.64  
VardasNR569              PavardeNR569             9.04  
VardasNR57               PavardeNR57              6.36  
VardasNR570              PavardeNR570             7.32  
VardasNR571              PavardeNR571             5.88  
VardasNR572              PavardeNR572             6.04  
VardasNR656              PavardeNR656             8.00  
VardasNR655              PavardeNR655             5.84  
VardasNR654              PavardeNR654             7.48  
VardasNR576              PavardeNR576             6.12  
VardasNR653              PavardeNR653             6.72  
VardasNR578              PavardeNR578             5.40  
VardasNR579              PavardeNR579             5.20  
VardasNR652              PavardeNR652             5.68  
VardasNR580              PavardeNR580             8.56  
VardasNR650              PavardeNR650             5.56  
VardasNR65               PavardeNR65              6.60  
VardasNR649              PavardeNR649             6.80  
VardasNR584              PavardeNR584             7.72  
VardasNR585              PavardeNR585             5.12  
VardasNR586              PavardeNR586             5.28  
VardasNR587              PavardeNR587             8.28  
VardasNR588              PavardeNR588             5.28  
VardasNR648              PavardeNR648             6.48  
VardasNR645              PavardeNR645             5.52  
VardasNR644              PavardeNR644             5.80  
VardasNR591              PavardeNR591             6.40  
VardasNR643              PavardeNR643             5.88  
VardasNR642              PavardeNR642             8.56  
VardasNR641              PavardeNR641             6.88  
VardasNR595              PavardeNR595             6.00  
VardasNR596              PavardeNR596             7.48  
VardasNR597              PavardeNR597             8.76  
VardasNR598              PavardeNR598             5.88  
VardasNR64               PavardeNR64              5.04  
VardasNR6                PavardeNR6               6.20  
VardasNR638              PavardeNR638             8.36  
VardasNR636              PavardeNR636             6.60  
VardasNR633              PavardeNR633             5.80  
VardasNR602              PavardeNR602             5.20  
VardasNR603              PavardeNR603             5.64  
VardasNR604              PavardeNR604             7.08  
VardasNR605              PavardeNR605             6.88  
VardasNR606              PavardeNR606             7.48  
VardasNR632              PavardeNR632             6.56  
VardasNR608              PavardeNR608             8.08  
VardasNR631              PavardeNR631             6.48  
VardasNR61               PavardeNR61              7.16  
VardasNR630              PavardeNR630             5.88  
VardasNR63               PavardeNR63              7.20  
VardasNR612              PavardeNR612             7.52  
VardasNR613              PavardeNR613             7.88  
VardasNR614              PavardeNR614             5.88  
VardasNR615              PavardeNR615             5.52  
VardasNR616              PavardeNR616             7.72  
VardasNR617              PavardeNR617             6.24  
VardasNR629              PavardeNR629             6.72  
VardasNR628              PavardeNR628             5.32  
VardasNR626              PavardeNR626             5.72  
VardasNR620              PavardeNR620             6.60  
VardasNR624              PavardeNR624             5.60  
VardasNR622              PavardeNR622             8.48  
VardasNR623              PavardeNR623             5.76  
